City,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error
Colorado Springs,El Paso,80910,22345,997,16.7,2.2,1755,288,37.3,14.9,2874,462,19.6,7.1,8528,769,16.4,3.4,3253,340,15.1,4.1,2568,318,7.3,4.3,1583,213,9.8,8.1,1784,183,23.2,22.8
Colorado Springs,El Paso,80911,23558,768,10.5,1.6,1636,296,42.8,12.1,2086,304,15.8,7.2,8380,548,10.1,2.6,4379,402,6.6,2.7,3335,371,4.1,2.6,2052,246,7,7,1690,217,13.8,21.4
Colorado Springs,El Paso,80912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80913,3024,392,0,26.5,423,103,0,**,1805,268,0,**,715,175,0,41.5,81,84,0,41.1,0,12,0,**,0,12,0,**,0,12,0,**
Colorado Springs,El Paso,80914,321,146,0,**,47,36,0,**,237,124,0,**,37,23,0,**,0,12,0,**,0,12,0,**,0,12,0,**,0,12,0,**
Colorado Springs,El Paso,80915,15210,791,8.6,2.1,981,273,30.7,15,1602,387,10.8,9,5326,514,9.6,3.5,2930,351,4.6,3.2,2057,276,6,3.9,1251,231,3.7,6.1,1063,185,0,46.3
Colorado Springs,El Paso,80916,26507,955,14.2,2.1,2089,337,40.9,12.2,4071,630,27.8,7.5,11882,665,9.5,2.3,3856,433,9.7,3.6,2741,390,13,4.7,1236,161,6.4,9.9,632,142,0,46.3
Colorado Springs,El Paso,80917,23895,779,10.6,2.4,1638,262,19.3,10.7,2703,516,20.9,10,7813,461,10.5,2.9,3895,356,6.9,2.3,3795,284,3.2,1.7,2223,224,13.9,11.1,1828,275,0,19.9
Colorado Springs,El Paso,80918,37675,868,8.6,1,3046,375,30.1,6.7,3840,447,13.5,4.4,13090,659,5.7,1.4,6609,416,7.8,2,5659,404,6.5,2.1,3357,257,7,5.6,2074,236,12.4,13.7
Colorado Springs,El Paso,80919,22190,720,8.8,1.8,1466,274,22.8,12.3,1998,380,19.3,6.8,6161,405,6.6,2.6,4843,413,7.6,4.8,4416,391,6.9,3.2,2308,205,3.7,3.8,998,207,0,42.8
Colorado Springs,El Paso,80920,28802,650,7.1,1.2,2679,279,24.4,9.8,2236,328,10.7,5.7,9232,461,4.6,1.6,7119,391,4.9,1.8,4444,398,8.7,3.6,1985,245,9.2,8.4,1107,180,0,43.7
