City_x,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error,License,Street,City_y
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00476,137 West Cedar Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00645,466 West Main Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00564,520 Nevada Avenue,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00421,118 Santa Fe Trail,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00496,2600 Freedom Road,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00584,514 West Main Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00689,1400 Van Buren Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00352,124 Santa Fe Trail,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00389,422 North Commercial Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00569,413 North Commercial Street,Trinidad
